timestamp,item,expo_quantity,expo_rev,impo_quantity,impo_cost,margin
2019-01,TM,356571,990,0,0,990
2019-01,ON,821330,222,4003206,1118,-896
2019-01,SL,60,1,93405,128,-127
2019-01,BC,160,1,638913,563,-562
2019-01,BS,0,0,7580,38,-38
2019-01,CB,184650,94,395802,90,4
2019-01,LT,85200,95,258096,165,-70
2019-01,CH,0,0,90,1,-1
2019-01,CR,23150,22,7466150,2955,-2934
2019-01,CC,10340,28,0,0,28
2019-01,BE,2,0,0,0,0
2019-01,DP,876,7,13829,23,-16
2019-01,FG,2627,23,94529,464,-441
2019-01,PA,60,0,6014272,4461,-4461
2019-01,MG,0,0,1778356,7719,-7719
2019-01,MS,0,0,14685,82,-82
2019-01,OR,282,1,5423713,9051,-9050
2019-01,TG,58368,172,0,0,172
2019-01,GP,0,0,2205640,3503,-3503
2019-01,LM,1195,7,1736971,4019,-4011
2019-01,WM,6547,27,1500,19,7
2019-01,PP,0,0,66901,123,-123
2019-01,AP,451382,1154,0,0,1154
2019-01,PR,3118675,8944,0,0,8944
2019-01,PU,30,0,0,0,0
2019-02,TM,332512,926,0,0,926
2019-02,ON,165470,57,2319079,728,-671
2019-02,SL,0,0,26163,66,-66
2019-02,BC,780,1,396870,399,-398
2019-02,BS,0,0,4140,21,-21
2019-02,CB,182636,69,336142,77,-8
2019-02,LT,40150,45,309258,213,-167
2019-02,CH,0,0,270,1,-1
2019-02,CR,16250,16,6524716,2600,-2585
2019-02,CC,336,2,0,0,2
2019-02,DP,0,0,56660,118,-118
2019-02,FG,0,0,43151,160,-160
2019-02,PA,0,0,5260892,3978,-3978
2019-02,MG,0,0,1649541,6366,-6366
2019-02,MS,0,0,50168,282,-282
2019-02,OR,525,1,5699591,9641,-9640
2019-02,TG,8474,33,0,0,33
2019-02,GP,0,0,1185033,1907,-1907
2019-02,LM,520,3,2157054,4798,-4795
2019-02,WM,2927,13,26380,257,-244
2019-02,PP,0,0,21219,52,-52
2019-02,AP,194089,472,0,0,472
2019-02,PR,878305,2230,0,0,2230
2019-03,TM,476592,1369,0,0,1369
2019-03,ON,4710,3,3707265,1134,-1130
2019-03,SL,0,0,68775,109,-109
2019-03,BC,100,0,417756,503,-503
2019-03,BS,0,0,4520,22,-22
2019-03,CB,854925,354,356514,94,260
2019-03,LT,36,0,151776,106,-106
2019-03,CH,0,0,540,3,-3
2019-03,CR,17960,13,13353720,4953,-4941
2019-03,CC,3373,8,0,0,8
2019-03,DP,0,0,38146,82,-82
2019-03,FG,220,2,17808,109,-107
2019-03,PA,0,0,6363858,5052,-5052
2019-03,MG,0,0,3148821,11360,-11360
2019-03,MS,0,0,27140,185,-185
2019-03,OR,1200,5,41025303,65989,-65984
2019-03,TG,2061,10,4599,12,-2
2019-03,GP,0,0,1014249,1576,-1576
2019-03,LM,0,0,1565892,3363,-3363
2019-03,WM,0,0,17560,152,-152
2019-03,PP,0,0,36755,73,-73
2019-03,AP,106635,292,0,0,292
2019-03,PR,1061622,2886,0,0,2886
2019-03,PU,30,0,0,0,0
2019-04,TM,486481,1360,0,0,1360
2019-04,ON,10375,1,4452470,1441,-1440
2019-04,SL,0,0,72259,159,-159
2019-04,BC,18,0,783593,1207,-1207
2019-04,BS,0,0,11370,51,-51
2019-04,CB,6494616,2658,343463,105,2553
2019-04,LT,67147,71,8,0,71
2019-04,CH,0,0,270,1,-1
2019-04,CR,16910,14,8323700,3493,-3479
2019-04,CC,5818,15,0,0,15
2019-04,DP,272,1,134033,254,-253
2019-04,FG,877,8,38178,210,-202
2019-04,PA,0,0,7000161,5943,-5943
2019-04,MG,28,0,3588106,12311,-12311
2019-04,MS,0,0,223734,1218,-1218
2019-04,OR,558,1,48407680,83004,-83003
2019-04,TG,328,9,13457,36,-27
2019-04,GP,0,0,1140481,1922,-1922
2019-04,LM,67,0,1538120,3216,-3216
2019-04,WM,6037,17,0,0,17
2019-04,PP,0,0,29364,65,-65
2019-04,AP,53359,133,0,0,133
2019-04,PR,485065,1247,0,0,1247
