id,timestamp,item,co_op,loc,supply,price,year,month,week,day,yemon,holiday
TG_A_J_20190101,2019-01-01,TG,A,J,0.0,0.0,2019,1,1,1,2019-01,1
TG_A_J_20190102,2019-01-02,TG,A,J,0.0,0.0,2019,1,1,2,2019-01,0
TG_A_J_20190103,2019-01-03,TG,A,J,606.01,17.28,2019,1,1,3,2019-01,0
TG_A_J_20190104,2019-01-04,TG,A,J,250.0,14.08,2019,1,1,4,2019-01,0
TG_A_J_20190105,2019-01-05,TG,A,J,323.52,12.5,2019,1,1,5,2019-01,0
TG_A_J_20190106,2019-01-06,TG,A,J,0.0,0.0,2019,1,1,6,2019-01,0
TG_A_J_20190107,2019-01-07,TG,A,J,449.95,14.74,2019,1,2,0,2019-01,0
TG_A_J_20190108,2019-01-08,TG,A,J,269.75,13.26,2019,1,2,1,2019-01,0
TG_A_J_20190109,2019-01-09,TG,A,J,292.65,14.28,2019,1,2,2,2019-01,0
TG_A_J_20190110,2019-01-10,TG,A,J,212.26,14.33,2019,1,2,3,2019-01,0
TG_A_J_20190111,2019-01-11,TG,A,J,257.52,15.46,2019,1,2,4,2019-01,0
TG_A_J_20190112,2019-01-12,TG,A,J,354.88,13.74,2019,1,2,5,2019-01,0
TG_A_J_20190113,2019-01-13,TG,A,J,0.0,0.0,2019,1,2,6,2019-01,0
TG_A_J_20190114,2019-01-14,TG,A,J,153.2,16.94,2019,1,3,0,2019-01,0
TG_A_J_20190115,2019-01-15,TG,A,J,404.86,14.56,2019,1,3,1,2019-01,0
TG_A_J_20190116,2019-01-16,TG,A,J,376.23,14.7,2019,1,3,2,2019-01,0
TG_A_J_20190117,2019-01-17,TG,A,J,39.56,29.19,2019,1,3,3,2019-01,0
TG_A_J_20190118,2019-01-18,TG,A,J,392.75,13.74,2019,1,3,4,2019-01,0
TG_A_J_20190119,2019-01-19,TG,A,J,222.95,13.3,2019,1,3,5,2019-01,0
TG_A_J_20190120,2019-01-20,TG,A,J,0.0,0.0,2019,1,3,6,2019-01,0
TG_A_J_20190121,2019-01-21,TG,A,J,263.66,21.44,2019,1,4,0,2019-01,0
TG_A_J_20190122,2019-01-22,TG,A,J,275.82,20.67,2019,1,4,1,2019-01,0
TG_A_J_20190123,2019-01-23,TG,A,J,230.29,21.49,2019,1,4,2,2019-01,0
TG_A_J_20190124,2019-01-24,TG,A,J,271.57,21.48,2019,1,4,3,2019-01,0
TG_A_J_20190125,2019-01-25,TG,A,J,322.8,25.13,2019,1,4,4,2019-01,0
